respondent_id,xyz_vaccine,seasonal_vaccine
259,0.4,0.1
260,0.3,0.7
261,0.0,0.7
262,0.9,1.0
263,0.4,0.8
264,0.0,0.5
265,0.4,0.8
266,0.1,0.3
267,0.0,0.2
268,0.5,0.5
269,0.0,0.2
270,0.1,0.2
271,0.1,0.5
272,0.1,0.5
273,0.0,0.2
274,0.2,0.3
275,0.0,0.9
276,0.3,0.8
277,0.0,0.3
278,0.7,0.6
279,0.4,0.7
280,0.1,0.2
281,0.0,0.6
282,0.0,0.7
283,0.4,0.7
284,0.6,0.8
285,0.0,0.0
286,0.1,0.4
287,0.1,0.1
288,0.9,0.9
289,0.1,0.4
290,0.1,0.4
291,0.0,0.1
292,0.0,0.5
293,0.4,0.7
294,0.0,0.1
295,0.1,0.5
296,0.2,0.2
297,0.1,0.3
298,0.5,0.6
299,0.0,0.6
300,0.3,0.3
301,0.2,0.1
302,0.0,0.0
303,0.5,0.9
304,0.1,0.6
305,0.1,0.1
306,0.9,0.9
307,0.9,0.9
308,0.3,0.9
309,0.2,0.6
310,0.0,0.2
311,0.1,0.5
312,0.0,0.2
313,0.0,0.2
314,0.1,0.9
315,0.2,0.4
316,0.0,0.3
317,0.0,0.2
318,0.5,0.3
319,0.6,0.5
320,0.2,0.4
321,0.0,0.1
322,0.3,0.8
323,0.2,0.5
324,0.1,0.6
325,0.1,0.2
326,0.1,0.1
327,0.0,0.5
328,0.2,0.3
329,0.6,0.7
330,0.2,0.8
331,0.0,0.3
332,0.0,0.1
333,0.1,0.9
334,0.2,0.4
335,0.3,0.7
336,0.0,0.0
337,0.4,0.5
338,0.0,0.1
339,0.7,0.8
340,0.1,0.1
341,0.0,0.2
342,0.0,0.1
343,0.0,0.2
344,0.7,0.7
345,0.2,0.7
346,0.7,0.9
347,0.0,0.1
348,0.1,0.8
349,0.0,0.1
350,0.0,0.6
351,0.3,1.0
352,0.0,0.1
353,0.2,0.5
354,0.4,0.7
355,0.1,0.1
356,0.1,0.2
357,0.9,0.9
358,0.2,0.5
359,0.9,0.9
360,0.2,0.4
361,0.2,0.8
362,0.2,0.3
363,0.1,0.3
364,0.6,0.8
365,0.2,0.5
366,0.0,0.0
367,0.2,0.4
368,0.0,0.2
369,0.0,0.1
370,0.0,0.1
371,0.7,1.0
372,0.0,0.8
373,0.3,0.3
374,0.2,0.4
375,0.2,0.5
376,0.9,1.0
377,0.1,0.2
378,0.4,0.7
379,0.2,0.5
380,0.0,0.1
381,0.1,0.8
382,0.1,0.8
383,0.1,0.1
384,0.0,0.9
385,0.1,0.8
386,0.2,0.3
387,0.3,0.6
388,0.6,0.9
389,0.6,0.6
390,0.1,0.6
391,0.1,0.4
392,0.0,0.8
393,0.1,0.4
394,0.0,0.1
395,0.1,0.5
396,0.0,0.3
397,0.5,0.7
398,0.1,0.1
399,0.3,0.5
400,0.0,0.0
401,0.0,0.3
402,0.1,0.3
403,0.6,0.9
404,0.1,0.5
405,0.0,0.3
406,0.0,0.1
407,0.3,0.6
408,0.1,0.2
409,0.1,0.7
410,0.1,0.0
411,0.4,0.5
412,0.1,0.5
413,0.4,0.9
414,0.8,0.9
415,0.1,0.6
416,0.2,0.2
417,0.0,0.2
418,0.1,0.8
419,0.1,0.9
420,0.3,0.1
421,0.3,0.4
422,0.0,0.8
423,0.2,0.6
424,0.0,0.1
425,0.4,0.9
426,0.0,0.9
427,0.8,0.9
428,0.1,0.1
429,0.0,0.0
430,0.0,0.0
431,0.0,0.4
432,0.4,0.4
433,0.0,0.2
434,0.2,0.9
435,0.1,0.1
436,0.0,0.3
437,0.0,0.3
438,0.1,0.2
439,0.2,0.5
440,0.0,0.2
441,0.1,0.5
442,0.2,1.0
443,0.0,0.1
444,0.0,0.0
445,0.2,0.1
446,0.1,0.3
447,0.1,0.1
448,0.2,0.8
449,0.2,0.6
450,0.1,0.2
451,0.1,0.2
452,0.2,0.1
453,0.1,0.2
454,0.0,0.2
455,0.1,0.3
456,0.1,0.3
457,0.3,0.9
458,0.0,1.0
459,0.2,1.0
460,0.1,0.4
461,0.1,0.8
462,0.0,0.2
463,0.6,0.7
464,0.1,0.3
465,0.2,0.3
466,0.2,0.2
467,0.0,0.1
468,0.0,0.2
469,0.2,0.7
470,0.0,0.1
471,0.3,0.7
472,0.9,0.9
473,0.2,0.6
474,0.1,0.9
475,0.0,0.3
476,0.1,0.3
477,0.0,0.3
478,0.0,0.1
479,0.0,0.0
480,0.2,0.4
481,0.8,0.9
482,0.1,0.5
483,0.0,0.0
484,0.1,0.2
485,0.2,0.5
486,0.0,0.1
487,0.1,0.2
488,0.4,1.0
489,0.7,0.4
490,0.1,0.4
491,0.0,0.2
492,0.2,0.3
493,0.1,0.0
494,0.3,1.0
495,0.4,0.2
496,0.0,0.4
497,0.1,0.8
498,0.4,0.8
499,0.0,0.1
500,0.0,0.4
501,0.0,0.3
502,0.7,0.8
503,0.1,0.3
504,0.8,0.8
505,0.5,0.8
506,0.1,0.4
507,0.3,0.7
508,0.2,0.4
509,0.0,0.1
510,0.9,0.9
511,0.2,0.5
512,0.1,0.2
513,0.2,0.8
514,0.4,0.7
515,0.1,0.7
516,1.0,1.0
517,0.5,0.6
518,0.4,0.8
519,0.4,0.6
520,0.0,0.1
521,0.0,0.2
522,0.0,0.2
523,0.0,0.1
524,0.0,0.6
525,0.0,0.2
526,0.1,0.4
527,0.0,0.0
528,0.1,0.1
529,0.4,0.9
530,0.1,0.2
531,0.4,1.0
532,0.2,0.9
533,0.0,0.1
534,0.7,0.6
535,0.1,0.1
536,0.0,0.3
537,0.8,0.9
538,0.3,0.7
539,0.3,0.8
540,0.8,0.8
541,0.3,0.9
542,0.2,0.5
543,0.1,0.1
544,0.0,0.5
545,0.1,0.2
546,0.1,0.9
547,0.1,0.2
548,0.1,0.4
549,0.1,1.0
550,0.1,0.3
551,0.4,0.5
552,0.0,0.1
553,0.0,0.1
554,0.3,0.3
555,0.6,0.9
556,0.1,0.9
557,0.0,0.1
558,0.6,0.8
559,0.3,0.3
560,0.1,0.5
561,0.3,0.3
562,0.0,0.1
563,0.0,0.1
564,0.0,0.2
565,0.4,0.8
566,0.0,0.1
567,0.0,0.1
568,0.5,0.6
569,0.2,0.5
570,0.0,0.1
571,0.0,0.1
572,0.0,0.1
573,0.6,0.0
574,0.1,0.5
575,0.1,0.8
576,0.1,0.2
577,0.0,0.3
578,0.1,0.4
579,0.3,0.5
580,0.2,0.4
581,0.2,0.4
582,0.0,0.1
583,0.0,0.1
584,0.0,0.1
585,0.2,0.6
586,0.1,0.5
587,0.0,0.1
588,0.1,0.6
589,0.0,0.0
590,0.0,0.8
591,0.8,0.4
592,0.0,0.0
593,0.4,0.0
594,0.6,0.7
595,0.0,0.6
596,0.3,0.5
597,0.5,0.6
598,0.1,0.3
599,0.1,0.5
600,0.3,0.3
601,0.0,0.2
602,0.1,0.5
603,0.0,0.1
604,0.1,1.0
605,0.0,0.5
606,0.0,0.5
607,0.3,0.9
608,0.1,0.3
609,0.1,0.2
610,0.9,0.9
611,0.0,0.1
612,0.1,0.3
613,0.9,1.0
614,0.1,0.8
615,0.2,0.9
616,0.2,0.8
617,0.0,0.9
618,0.1,0.1
619,0.1,0.3
620,0.8,1.0
621,0.8,0.9
622,0.1,0.2
623,0.1,0.4
624,0.1,0.3
625,0.8,1.0
626,0.0,0.1
627,0.1,0.1
628,0.3,0.2
629,0.1,0.8
630,0.0,0.9
631,0.1,0.7
632,0.3,0.4
633,0.1,0.3
634,0.1,0.4
635,0.3,0.6
636,0.0,0.0
637,0.0,0.3
638,0.1,0.5
639,0.1,0.9
640,0.7,0.9
641,0.0,0.0
642,0.8,0.9
643,0.1,0.4
644,0.1,0.9
645,0.0,0.2
646,0.7,0.3
647,0.1,0.2
648,0.2,0.8
649,0.1,0.2
650,0.0,0.6
651,0.5,1.0
652,0.2,0.4
653,0.1,0.5
654,0.2,0.1
655,0.3,0.9
656,0.1,0.4
657,0.1,0.3
658,0.1,1.0
659,0.0,0.1
660,0.1,0.1
661,0.1,0.5
662,0.2,0.7
663,0.0,0.1
664,0.2,0.6
665,0.1,0.3
666,0.8,0.9
667,0.2,0.2
668,0.0,0.2
669,0.0,0.7
670,0.3,0.7
671,0.1,0.7
672,0.8,0.2
673,0.0,0.2
674,0.7,0.8
675,0.7,1.0
676,0.0,0.8
677,0.1,0.3
678,0.3,0.5
679,0.2,0.3
680,0.3,0.9
681,0.0,0.1
682,0.6,0.6
683,0.0,0.1
684,0.0,0.0
685,0.1,0.5
686,0.2,0.4
687,0.5,0.7
688,0.0,0.0
689,0.1,0.6
690,0.1,0.1
691,0.2,0.7
692,0.0,0.1
693,0.7,0.7
694,0.1,0.8
695,0.0,0.1
696,0.0,0.1
697,0.2,0.2
698,0.0,0.3
699,0.1,0.5
700,0.6,0.9
701,0.1,0.9
702,0.0,0.6
703,0.6,0.8
704,0.0,0.4
705,0.0,0.6
706,0.2,0.4
707,0.6,0.8
708,0.3,0.8
709,0.8,0.9
710,0.3,0.5
711,0.0,0.1
712,0.1,1.0
713,0.4,0.9
714,0.8,0.6
715,0.1,0.2
716,0.0,0.4
717,0.0,0.1
718,0.1,0.7
719,0.3,0.5
720,0.9,0.5
721,0.0,0.1
722,0.2,0.9
723,0.1,0.8
724,0.0,0.4
725,0.0,0.7
726,0.1,0.7
727,0.1,0.1
728,0.1,0.7
729,0.7,0.9
730,0.0,0.2
731,0.2,0.3
732,0.0,0.3
733,0.1,0.3
734,0.1,0.9
735,0.0,0.4
736,0.1,0.2
737,0.0,0.2
738,0.5,0.8
739,0.0,0.1
740,0.1,0.7
741,0.1,0.2
742,0.9,0.9
743,0.3,1.0
744,0.8,0.7
745,0.0,0.3
746,0.3,0.2
747,0.1,0.3
748,0.3,0.2
749,0.1,0.0
750,0.7,1.0
751,0.0,0.2
752,0.5,0.7
753,0.2,0.7
754,0.9,0.9
755,0.1,0.3
756,0.7,0.6
757,0.4,0.6
758,0.0,0.1
759,0.4,0.7
760,0.4,0.9
761,0.8,1.0
762,0.0,0.6
763,0.0,0.2
764,0.1,0.3
765,0.2,0.7
766,0.1,0.3
767,0.1,0.3
768,0.7,0.9
769,0.0,0.2
770,0.1,0.4
771,0.8,0.9
772,0.2,0.8
773,0.0,0.0
774,0.2,0.7
775,0.7,1.0
776,0.2,0.3
777,0.3,0.7
778,0.1,0.2
779,0.1,0.7
780,0.6,0.9
781,0.5,0.9
782,0.0,0.4
783,0.9,0.5
784,0.1,0.3
785,0.2,0.1
786,0.0,0.2
787,0.0,0.3
788,0.0,0.1
789,0.1,0.4
790,0.3,0.7
791,0.2,0.3
792,0.3,0.7
793,0.1,0.5
794,0.5,0.3
795,0.6,0.3
796,0.1,0.6
797,0.1,0.4
798,0.3,0.8
799,0.1,0.6
800,0.0,0.8
801,0.2,0.8
802,0.0,0.7
803,0.1,0.3
804,0.0,0.3
805,0.6,0.9
806,0.0,0.8
807,0.4,0.6
808,0.3,0.8
809,0.9,0.9
810,0.1,0.2
811,0.5,0.8
812,0.0,0.3
813,0.1,0.2
814,0.0,0.2
815,0.0,0.0
816,0.0,0.0
817,0.1,0.1
818,0.2,0.4
819,0.8,0.5
820,0.1,0.2
821,0.4,0.6
822,0.0,0.1
823,0.1,0.3
824,0.3,0.6
825,0.0,0.4
826,0.0,0.5
827,0.3,0.8
828,0.0,0.0
829,0.1,0.3
830,0.0,0.2
831,0.0,0.1
832,0.1,0.9
833,0.1,0.5
834,0.1,0.9
835,0.1,0.1
836,0.1,0.4
837,0.3,0.2
838,0.0,0.1
839,0.0,0.1
840,0.3,0.7
841,0.0,0.2
842,0.1,0.5
843,0.1,0.3
844,0.2,0.3
845,0.1,0.8
846,0.1,0.8
847,0.1,0.6
848,0.0,0.2
849,0.0,0.0
850,0.1,0.8
851,0.0,0.1
852,0.4,0.9
853,0.5,0.5
854,0.1,0.3
855,0.3,0.4
856,0.1,0.2
857,0.0,0.1
858,0.2,0.3
859,0.5,0.3
860,0.0,0.2
861,0.1,0.1
862,0.4,0.1
863,0.0,0.0
864,0.1,0.1
865,0.0,0.1
866,0.2,0.9
867,0.1,0.5
868,0.9,0.7
869,0.1,0.8
870,0.2,0.6
871,0.0,0.5
872,0.7,0.7
873,0.1,0.8
874,0.1,0.1
875,0.0,0.0
876,0.0,0.3
877,0.0,0.9
878,0.0,0.5
879,0.1,0.2
880,0.0,0.1
881,0.7,0.9
882,0.9,0.9
883,0.1,0.7
884,0.1,0.8
885,0.2,1.0
886,0.2,0.3
887,1.0,1.0
888,0.0,0.1
889,0.1,0.4
890,0.0,0.3
891,0.2,1.0
892,0.5,0.7
893,0.0,0.7
894,0.1,0.5
895,0.4,0.6
896,0.0,0.1
897,0.9,1.0
898,0.7,0.5
899,0.1,0.5
900,0.2,0.5
901,0.2,0.6
902,0.1,0.2
903,0.0,0.1
904,0.7,0.9
905,0.1,0.5
906,0.4,0.5
907,0.1,0.3
908,0.0,0.0
909,0.1,0.5
910,0.0,0.8
911,0.9,0.8
912,0.2,0.4
913,0.3,0.8
914,0.1,0.9
915,0.0,0.1
916,0.0,0.2
917,0.9,1.0
918,0.6,0.3
919,0.1,0.0
920,0.0,0.8
921,0.3,0.9
922,0.0,0.1
923,0.1,0.4
924,0.8,1.0
925,0.7,0.7
926,0.1,0.1
927,0.6,0.3
928,0.4,0.7
929,0.4,0.9
930,0.3,0.5
931,0.0,0.0
932,0.0,0.1
933,0.1,0.2
934,0.1,0.3
935,0.0,0.5
936,0.3,0.4
937,0.4,0.4
938,0.3,0.6
939,0.1,0.3
940,0.0,0.2
941,0.2,0.3
942,0.4,0.7
943,0.6,0.6
944,0.1,0.2
945,0.4,0.5
946,0.0,0.1
947,0.0,0.4
948,0.0,0.4
949,0.2,0.6
950,0.0,0.1
951,0.2,0.9
952,0.2,0.9
953,0.0,0.0
954,0.6,0.9
955,0.2,0.7
956,1.0,0.9
957,0.0,0.1
958,0.0,0.5
959,0.0,0.5
960,0.0,0.2
961,0.4,0.6
962,0.1,0.5
963,0.1,0.5
964,0.0,0.2
965,0.1,0.5
966,0.1,0.1
967,0.5,0.9
968,0.0,0.1
969,0.4,0.4
970,0.2,0.4
971,0.3,0.8
972,0.5,0.8
973,0.0,0.8
974,0.4,0.9
975,0.0,0.0
976,0.3,0.9
977,0.4,0.5
978,0.4,0.6
979,0.5,0.3
980,0.1,0.2
981,0.4,1.0
982,0.2,0.3
983,0.0,0.0
984,0.2,0.8
985,0.0,0.8
986,0.0,0.0
987,0.9,0.9
988,0.1,0.2
989,0.0,0.8
990,0.7,0.8
991,0.3,0.8
992,0.0,0.0
993,0.1,0.6
994,0.0,0.8
995,0.5,0.7
996,0.0,0.6
997,0.2,0.2
998,0.0,0.3
999,0.2,0.6
1000,0.1,0.4
1001,0.0,0.0
1002,0.2,0.7
1003,0.0,0.4
1004,0.2,0.9
1005,0.2,0.3
1006,0.2,0.7
1007,0.0,0.0
1008,0.4,0.8
1009,0.0,0.1
1010,0.0,0.1
1011,0.2,0.3
1012,0.0,0.5
1013,0.7,0.9
1014,0.8,0.9
1015,0.2,0.5
1016,0.0,0.0
1017,0.0,0.5
1018,0.3,0.4
1019,0.0,0.4
1020,0.1,0.5
1021,0.0,0.3
1022,0.0,0.3
1023,0.1,0.5
1024,0.1,0.4
1025,0.8,1.0
1026,0.0,0.1
1027,0.1,0.4
1028,0.1,0.0
1029,0.0,0.0
1030,0.1,0.2
1031,0.6,0.5
1032,0.0,0.8
1033,0.1,0.0
1034,0.0,0.7
1035,0.0,0.0
1036,0.1,0.4
1037,0.0,0.1
1038,0.1,0.2
1039,0.6,0.8
1040,0.2,0.2
1041,0.5,0.2
1042,0.1,0.2
1043,0.0,0.0
1044,0.1,0.5
1045,0.7,0.7
1046,0.0,0.1
1047,0.6,0.8
1048,0.1,0.2
1049,0.1,0.3
1050,0.6,0.8
1051,0.0,0.1
1052,0.8,1.0
1053,0.2,0.1
1054,0.7,0.8
1055,0.1,0.2
1056,0.2,0.9
1057,0.0,0.4
1058,0.1,0.1
1059,0.2,0.5
1060,0.0,0.1
1061,0.1,0.4
1062,0.6,0.8
1063,0.0,0.5
1064,0.8,0.5
1065,0.0,0.8
1066,0.1,0.5
1067,0.2,0.9
1068,0.1,0.2
1069,0.3,0.8
1070,0.4,0.6
1071,0.2,0.5
1072,0.0,0.1
1073,0.4,0.9
1074,0.6,0.8
1075,0.1,0.1
1076,0.3,0.6
1077,0.0,0.1
1078,0.0,0.3
1079,0.1,0.1
1080,0.1,0.8
1081,0.3,0.3
1082,0.0,0.0
1083,0.2,0.4
1084,0.1,0.4
1085,0.1,0.9
1086,0.0,0.1
1087,0.0,1.0
1088,0.0,0.1
1089,0.1,0.1
1090,0.2,0.9
1091,0.1,0.3
1092,0.1,0.4
1093,0.1,0.1
1094,0.5,0.7
1095,0.6,0.3
1096,0.3,0.1
1097,0.9,0.7
1098,0.8,0.9
1099,0.9,0.9
1100,0.2,0.6
1101,0.0,0.3
1102,0.0,0.4
1103,0.0,0.1
1104,0.4,0.1
1105,0.9,0.8
1106,0.7,0.2
1107,0.0,0.4
1108,0.0,0.8
1109,0.0,0.1
1110,0.1,0.2
1111,0.1,0.4
1112,0.6,0.6
1113,0.0,0.2
1114,0.0,0.5
1115,0.1,0.1
1116,0.0,0.1
1117,0.0,0.8
1118,0.6,0.8
1119,0.3,1.0
1120,0.0,0.1
1121,0.8,0.8
1122,0.0,0.6
1123,0.0,0.5
1124,0.3,0.4
1125,0.1,0.6
1126,0.8,0.9
1127,0.0,0.2
1128,0.1,0.3
1129,0.0,0.7
1130,0.0,0.0
1131,0.8,0.9
1132,0.4,0.6
1133,0.1,0.5
1134,0.0,0.1
1135,0.0,0.0
1136,0.4,0.8
1137,0.1,0.9
1138,0.7,0.7
1139,0.0,0.0
1140,0.1,0.3
1141,0.1,0.3
1142,0.1,0.2
1143,0.1,0.5
1144,0.1,0.4
1145,0.0,0.4
1146,0.3,0.8
1147,0.5,0.6
1148,0.1,0.5
1149,0.1,0.2
1150,0.4,0.8
1151,0.1,0.2
1152,0.8,0.9
1153,0.0,0.1
1154,0.8,1.0
1155,0.6,0.4
1156,0.3,0.6
1157,0.1,0.2
1158,0.0,0.9
1159,0.6,0.8
1160,0.5,0.7
1161,0.0,0.0
1162,0.2,0.1
1163,0.0,0.1
1164,0.5,0.9
1165,0.1,0.8
1166,0.7,0.9
1167,0.1,0.2
1168,0.1,0.1
1169,0.2,0.3
1170,0.1,0.7
1171,0.8,1.0
1172,0.0,0.3
1173,0.1,0.8
1174,0.6,0.9
1175,0.5,0.8
1176,0.7,0.9
1177,0.1,0.3
1178,0.1,0.4
1179,0.1,0.8
1180,0.1,0.1
1181,0.3,0.6
1182,0.6,0.6
1183,0.1,0.1
1184,0.2,0.8
1185,0.0,0.3
1186,0.0,0.1
1187,0.0,0.0
1188,0.3,0.7
1189,0.0,0.1
1190,0.1,0.3
1191,0.7,0.6
1192,0.9,1.0
1193,0.0,0.2
1194,0.8,0.8
1195,0.0,0.1
1196,0.1,0.0
1197,0.0,0.1
1198,0.0,0.5
1199,0.6,0.9
1200,0.3,0.5
1201,0.2,0.7
1202,0.0,0.3
1203,0.6,0.8
1204,0.7,0.9
1205,0.0,0.1
1206,0.1,1.0
1207,0.2,0.6
1208,0.0,0.2
1209,0.7,0.8
1210,0.0,0.0
1211,0.0,0.7
1212,0.1,0.3
1213,0.1,0.6
1214,0.2,0.8
1215,0.5,0.8
1216,0.0,0.1
1217,0.1,0.6
1218,0.0,0.2
1219,0.1,0.2
1220,0.1,0.6
1221,0.0,0.2
1222,0.3,0.0
1223,0.2,0.4
1224,0.3,0.6
1225,0.1,0.2
1226,0.0,0.8
1227,0.1,0.2
1228,0.3,0.6
1229,0.0,0.6
1230,0.1,0.1
1231,0.2,0.4
1232,0.4,0.4
1233,0.0,0.0
1234,0.1,0.9
1235,0.0,0.1
1236,0.2,0.2
1237,0.1,0.8
1238,0.1,0.6
1239,0.2,0.5
1240,0.2,0.9
1241,0.0,0.7
1242,0.8,0.9
1243,0.0,0.7
1244,0.4,0.7
1245,0.0,0.1
1246,0.0,0.4
1247,0.0,0.2
1248,0.0,0.8
1249,0.8,1.0
1250,0.0,0.8
1251,0.0,0.1
1252,0.2,0.3
1253,0.0,0.5
1254,0.0,0.1
1255,0.2,0.5
1256,0.2,0.1
1257,0.8,0.8
1258,0.0,0.7
1259,0.3,0.4
1260,0.1,0.2
1261,0.0,0.1
1262,0.2,0.9
1263,0.0,0.2
1264,0.1,0.9
1265,0.1,0.2
1266,0.1,0.3
1267,0.2,0.8
1268,0.1,0.2
1269,0.2,0.2
1270,0.0,0.1
1271,0.0,0.2
1272,0.8,0.4
1273,0.1,0.4
1274,0.0,0.1
1275,0.1,0.1
1276,0.1,0.2
1277,0.4,0.7
1278,0.5,0.6
1279,0.9,1.0
1280,0.2,0.2
1281,0.1,0.6
1282,0.0,0.5
1283,0.1,0.9
1284,0.8,0.6
1285,0.0,0.1
1286,0.8,0.9
1287,0.2,0.3
1288,0.0,0.1
1289,0.3,0.8
1290,0.0,1.0
1291,0.1,0.2
1292,0.0,0.0
1293,0.3,0.5
1294,0.1,0.5
1295,0.0,0.3
1296,0.0,0.1
1297,0.0,0.0
1298,0.4,0.9
1299,0.0,0.1
1300,0.2,0.2
1301,0.3,0.7
1302,0.0,0.0
1303,0.0,0.2
1304,0.1,1.0
1305,0.2,1.0
1306,0.4,0.9
1307,0.2,0.4
1308,0.0,0.2
1309,0.1,0.5
1310,0.4,0.7
1311,0.4,0.6
1312,0.0,0.6
1313,1.0,0.9
1314,0.1,0.6
1315,0.0,0.2
1316,0.0,0.2
1317,0.5,0.9
1318,0.1,0.3
1319,0.0,0.6
1320,0.0,0.3
1321,0.2,0.2
1322,0.4,0.5
1323,0.0,0.3
1324,0.9,0.9
1325,0.1,0.3
1326,0.2,0.2
1327,0.8,0.2
1328,0.1,0.2
1329,0.0,0.4
1330,0.1,0.4
1331,0.0,0.1
1332,0.8,0.8
1333,0.0,0.4
1334,0.1,0.3
1335,0.0,0.1
1336,0.7,1.0
1337,0.6,0.3
1338,0.6,0.8
1339,0.0,0.2
1340,0.3,0.3
1341,0.3,1.0
1342,0.1,0.2
1343,0.0,0.6
1344,0.6,0.7
1345,0.2,0.4
1346,0.1,0.0
1347,0.1,0.6
1348,0.4,0.6
1349,0.0,0.3
1350,0.2,0.6
1351,0.6,0.8
1352,0.1,0.2
1353,0.3,0.6
1354,0.0,0.0
1355,0.2,0.4
1356,0.8,0.9
1357,0.0,0.0
1358,0.4,0.3
